driver,career_races,career_wins,career_win_pct,career_top_5,career_top_5_pct,career_top_10,career_top_10_pct,career_top_20,career_top_20_pct,career_avg_start,career_best_start,career_worst_start,career_avg_finish,career_best_finish,career_worst_finish,career_avg_laps_led,career_total_laps_led,career_most_laps_led,career_total_money,career_avg_money,career_max_race_money,career_min_race_money
Ann Bunselmeyer,1,0,0.0,0,0.0,0,0.0,1,1.0,,,,18.0,18,18,0.0,0,0,0,,,
Ann Chester,2,0,0.0,0,0.0,0,0.0,0,0.0,,,,21.5,21,22,0.0,0,0,0,,,
Ann Slaasted,1,0,0.0,0,0.0,0,0.0,0,0.0,,,,22.0,22,22,0.0,0,0,0,,,
Ansel Rakestraw,3,0,0.0,0,0.0,0,0.0,3,1.0,23.33,18,26,16.0,14,19,0.0,0,0,300,100,100,100
Anthony Alfredo,40,0,0.0,0,0.0,2,0.05,6,0.15,29.38,18,39,27.28,6,39,0.23,9,4,0,,,
Anthony Lazzaro,2,0,0.0,0,0.0,0,0.0,0,0.0,34.5,31,38,31.0,28,34,0.0,0,0,93860,46930,61595,32265
Archie Nepstad,1,0,0.0,0,0.0,0,0.0,0,0.0,11.0,11,11,25.0,25,25,0.0,0,0,25,25,25,25
Archie Smith,2,0,0.0,0,0.0,2,1.0,2,1.0,15.0,15,15,8.0,6,10,0.0,0,0,225,113,175,50
Arden Mounts,37,0,0.0,0,0.0,6,0.16216,23,0.62162,22.76,1,59,20.92,7,70,0.0,0,0,2505,72,500,10
Aric Almirola,460,3,0.00652,30,0.06522,96,0.2087,281,0.61087,18.45,1,43,19.08,1,43,2.49,1147,128,23525607,131428,377176,67940
Arley Scranton,9,0,0.0,0,0.0,0,0.0,0,0.0,21.56,4,39,29.11,21,46,0.0,0,0,780,111,500,25
Armond Holley,5,0,0.0,0,0.0,0,0.0,2,0.4,19.8,6,30,29.4,15,44,0.0,0,0,2775,555,850,100
Arnold Bennett,1,0,0.0,0,0.0,0,0.0,0,0.0,26.0,26,26,30.0,30,30,0.0,0,0,0,,,
Arnold Denley,1,0,0.0,0,0.0,0,0.0,0,0.0,24.0,24,24,29.0,29,29,0.0,0,0,150,150,150,150
Arnold Gardner,4,0,0.0,0,0.0,0,0.0,0,0.0,35.5,11,56,31.5,27,38,0.0,0,0,575,192,300,75
Arnold Ladd,1,0,0.0,0,0.0,0,0.0,0,0.0,,,,25.0,25,25,0.0,0,0,45,45,45,45
