owner,owner_overall_races,owner_overall_wins,owner_overall_win_pct,owner_overall_top_5,owner_overall_top_10,owner_overall_top_20,owner_overall_trucks_raced,owner_overall_truck_win_pct,owner_overall_avg_start,owner_overall_avg_finish,owner_overall_laps_led,owner_overall_avg_laps_led
John Blewett,2,0,0.0,0,0,0,2,0.0,20.5,31.5,0,0.0
John Borneman,2,0,0.0,0,0,0,2,0.0,32.0,28.0,0,0.0
John Conely,43,0,0.0,1,1,19,45,0.0,25.78,22.71,7,0.16
John Corr,11,0,0.0,0,0,3,12,0.0,24.08,24.25,0,0.0
John King,1,0,0.0,0,0,0,1,0.0,19.0,28.0,0,0.0
John Menard,32,1,0.03125,6,22,27,32,0.03125,11.56,11.47,150,4.69
John Nemechek,27,0,0.0,0,2,19,27,0.0,17.33,18.93,0,0.0
John Redding,9,0,0.0,0,0,4,9,0.0,19.89,21.33,0,0.0
John Young,4,0,0.0,0,0,0,4,0.0,25.0,29.0,0,0.0
Johnny Dangerfield,1,0,0.0,0,0,0,1,0.0,21.0,31.0,0,0.0
Jordan Anderson,95,0,0.0,2,6,40,95,0.0,23.96,21.88,6,0.06
Josh Reaume,140,0,0.0,1,3,46,241,0.0,29.51,26.59,3,0.01
Judith Ann Midgley,3,0,0.0,0,0,0,3,0.0,31.67,26.67,0,0.0
K.D. Moore,1,0,0.0,0,0,0,1,0.0,30.0,35.0,0,0.0
KIR Ammo.com,1,0,0.0,0,0,0,1,0.0,32.0,34.0,0,0.0
Kart Idaho Racing,1,0,0.0,0,0,1,1,0.0,25.0,16.0,0,0.0
Ken Davis,2,0,0.0,0,0,1,2,0.0,35.5,20.5,0,0.0
Ken Hunt,2,0,0.0,0,0,2,2,0.0,28.0,18.0,1,0.5
Ken Schrader,170,1,0.00588,17,61,118,173,0.00578,15.65,16.65,369,2.13
Ken Small,2,0,0.0,0,0,0,2,0.0,21.5,26.5,0,0.0
Ken Smith,136,0,0.0,1,6,40,136,0.0,24.18,25.1,38,0.28
Ken Weaver,11,0,0.0,0,0,4,11,0.0,29.18,25.73,0,0.0
Kenneth Appling,1,0,0.0,0,0,0,1,0.0,27.0,32.0,0,0.0
Kenneth Brown,2,0,0.0,0,0,1,2,0.0,15.5,25.5,0,0.0
Kenny Allen,50,0,0.0,0,1,21,50,0.0,26.88,22.3,0,0.0
Kenny Habul,1,0,0.0,0,0,0,1,0.0,32.0,26.0,0,0.0
Kenny Yontz,4,0,0.0,0,0,0,4,0.0,33.25,31.5,0,0.0
